HexNAC,Hex,DeHex,Sia,LinearRegression_Slope,LinearRegression_intercept
2,5,0,0,0.0208,-10.365
2,6,0,0,0.0208,-10.365
2,7,0,0,0.0208,-10.365
2,8,0,0,0.0208,-10.365
2,9,0,0,0.0208,-10.365
2,10,0,0,NA,NA
3,3,0,0,NA,NA
3,3,1,0,0.0119,2.2485
3,4,0,0,0.0082,6.8389
3,4,0,1,0.0082,6.8389
3,4,1,0,0.0082,6.8389
3,4,1,1,NA,NA
3,5,0,0,0.0119,2.2485
3,5,0,1,NA,NA
3,5,1,0,0.0119,2.2485
3,5,1,1,0.0119,2.2485
3,6,0,0,NA,NA
3,6,0,1,NA,NA
3,6,1,0,NA,NA
3,6,1,1,NA,NA
3,7,0,0,NA,NA
3,8,0,1,NA,NA
4,3,0,0,0.0088,5.8029
4,3,1,0,0.0088,5.8029
4,4,0,0,0.0093,3.7195
4,4,0,1,0.0093,3.7195
4,4,1,0,0.0093,3.7195
4,4,1,1,0.0093,3.7195
4,5,0,0,0.0106,-0.1504
4,5,0,1,0.0106,-0.1504
4,5,0,2,0.0106,-0.1504
4,5,1,0,0.0106,-0.1504
4,5,1,1,0.0106,-0.1504
4,5,1,2,0.0106,-0.1504
4,6,0,0,NA,NA
4,6,0,1,NA,NA
4,6,0,2,0.0138,-8.9812
4,6,1,0,0.0138,-8.9812
4,6,1,1,0.0138,-8.9812
4,6,1,2,NA,NA
4,7,0,0,NA,NA
4,7,0,1,NA,NA
4,7,0,2,NA,NA
4,7,1,0,NA,NA
4,7,1,1,NA,NA
4,7,1,2,NA,NA
4,8,0,0,NA,NA
4,9,0,0,NA,NA
4,10,0,0,NA,NA
4,11,0,0,NA,NA
4,12,0,0,NA,NA
4,13,0,0,NA,NA
4,14,0,0,NA,NA
4,15,0,0,NA,NA
4,16,0,0,NA,NA
4,17,0,0,NA,NA
4,18,0,0,NA,NA
4,19,0,0,NA,NA
4,20,0,0,NA,NA
4,21,0,0,NA,NA
5,3,0,0,0.0125,0.2889
5,3,1,0,0.0125,0.2889
5,4,0,0,0.0129,-2.2316
5,4,0,1,NA,NA
5,4,1,0,0.0129,-2.2316
5,4,1,1,0.0129,-2.2316
5,5,0,0,0.013,-4.7245
5,5,0,1,0.013,-4.7245
5,5,0,2,0.013,-4.7245
5,5,1,0,0.013,-4.7245
5,5,1,1,0.013,-4.7245
5,5,1,2,0.013,-4.7245
5,6,0,0,NA,NA
5,6,0,1,0.0131,-12.063
5,6,0,2,0.0131,-12.063
5,6,0,3,0.0131,-12.063
5,6,0,4,0.0131,-12.063
5,6,1,0,NA,NA
5,6,1,1,0.0131,-12.063
5,6,1,2,0.0131,-12.063
5,6,1,3,0.0131,-12.063
5,6,2,0,NA,NA
5,6,2,1,NA,NA
5,6,2,3,0.0131,-12.063
5,7,0,0,NA,NA
5,7,0,1,NA,NA
5,7,0,2,NA,NA
5,7,1,0,NA,NA
5,7,1,1,0.0108,-4.6589
5,7,1,2,0.0108,-4.6589
5,7,2,1,0.0108,-4.6589
5,8,0,0,NA,NA
5,8,0,1,NA,NA
5,8,0,2,NA,NA
5,8,1,0,NA,NA
5,8,1,1,NA,NA
5,8,1,2,NA,NA
5,8,2,0,0.0108,-4.6589
5,8,2,1,0.0108,-4.6589
5,8,3,1,NA,NA
6,3,0,0,NA,NA
6,3,1,0,NA,NA
6,4,0,0,NA,NA
6,4,0,1,NA,NA
6,4,1,0,NA,NA
6,4,1,1,NA,NA
6,5,0,0,NA,NA
6,5,0,1,NA,NA
6,5,0,2,NA,NA
6,5,1,0,NA,NA
6,5,1,1,NA,NA
6,5,1,2,NA,NA
6,6,0,0,NA,NA
6,6,0,1,NA,NA
6,6,0,2,NA,NA
6,6,0,3,NA,NA
6,6,1,0,NA,NA
6,6,1,1,0.0123,-6.527
6,6,1,2,0.0123,-6.527
6,6,1,3,NA,NA
6,7,0,0,NA,NA
6,7,0,1,0.0157,-22.984
6,7,0,2,0.0157,-22.984
6,7,0,3,0.0157,-22.984
6,7,0,4,0.0143,-18.731
6,7,1,0,NA,NA
6,7,1,1,0.0157,-22.984
6,7,1,2,0.0157,-22.984
6,7,1,3,0.0157,-22.984
6,7,1,4,0.0143,-18.731
6,7,2,3,0.0157,-22.984
6,7,2,4,0.0143,-18.731
6,7,3,2,0.0152,-26.189
6,7,3,3,0.0152,-26.189
6,7,3,4,0.0152,-26.189
6,8,0,0,NA,NA
6,8,0,1,NA,NA
6,8,0,2,NA,NA
6,8,1,0,NA,NA
6,8,1,1,NA,NA
6,8,1,2,NA,NA
6,8,4,3,NA,NA
6,9,0,0,NA,NA
6,9,0,1,NA,NA
6,9,0,2,NA,NA
6,9,1,0,NA,NA
6,9,1,1,0.0108,-4.6589
6,9,1,2,0.0108,-4.6589
6,9,2,1,NA,NA
7,3,0,0,NA,NA
7,3,1,0,NA,NA
7,4,0,0,NA,NA
7,4,0,1,NA,NA
7,4,1,0,NA,NA
7,4,1,1,NA,NA
7,5,0,0,NA,NA
7,5,0,1,NA,NA
7,5,0,2,NA,NA
7,5,1,0,NA,NA
7,5,1,1,NA,NA
7,5,1,2,NA,NA
7,6,0,0,NA,NA
7,6,0,1,NA,NA
7,6,0,2,NA,NA
7,6,0,3,NA,NA
7,6,1,0,NA,NA
7,6,1,1,NA,NA
7,6,1,2,NA,NA
7,6,1,3,NA,NA
7,7,0,0,NA,NA
7,7,0,1,NA,NA
7,7,0,2,NA,NA
7,7,0,3,NA,NA
7,7,0,4,NA,NA
7,7,1,0,NA,NA
7,7,1,1,NA,NA
7,7,1,2,NA,NA
7,7,1,3,NA,NA
7,7,1,4,NA,NA
7,8,0,0,NA,NA
7,8,0,1,0.0125,-13.194
7,8,0,2,0.0125,-13.194
7,8,0,3,0.0125,-13.194
7,8,0,4,0.0125,-13.194
7,8,1,0,NA,NA
7,8,1,1,NA,NA
7,8,1,2,NA,NA
7,8,1,3,0.0125,-13.194
7,8,1,4,0.0125,-13.194
7,9,0,0,NA,NA
7,9,0,1,NA,NA
7,9,0,2,NA,NA
7,9,1,0,NA,NA
7,9,1,1,NA,NA
7,9,1,2,NA,NA
8,4,0,0,NA,NA
8,4,1,0,NA,NA
8,5,0,0,NA,NA
8,5,0,1,NA,NA
8,5,1,0,NA,NA
8,5,1,1,NA,NA
8,6,0,0,NA,NA
8,6,0,1,NA,NA
8,6,0,2,NA,NA
8,6,1,0,NA,NA
8,6,1,1,NA,NA
8,6,1,2,NA,NA
8,7,0,0,NA,NA
8,7,0,1,NA,NA
8,7,0,2,NA,NA
8,7,0,3,NA,NA
8,7,1,0,NA,NA
8,7,1,1,NA,NA
8,7,1,2,NA,NA
8,7,1,3,NA,NA
8,8,0,0,NA,NA
8,8,0,1,NA,NA
8,8,0,2,NA,NA
8,8,0,3,NA,NA
8,8,0,4,NA,NA
8,8,1,0,NA,NA
8,8,1,1,NA,NA
8,8,1,2,NA,NA
8,8,1,3,NA,NA
8,8,1,4,NA,NA
8,9,0,0,NA,NA
8,9,0,1,NA,NA
8,9,0,2,NA,NA
8,9,0,3,NA,NA
8,9,0,4,NA,NA
8,9,1,0,NA,NA
8,9,1,1,NA,NA
8,9,1,2,NA,NA
8,9,1,3,NA,NA
8,9,1,4,NA,NA
9,5,0,0,NA,NA
9,5,1,0,NA,NA
9,6,0,0,NA,NA
9,6,0,1,NA,NA
9,6,1,0,NA,NA
9,6,1,1,NA,NA
9,7,0,0,NA,NA
9,7,0,1,NA,NA
9,7,0,2,NA,NA
9,7,1,0,NA,NA
9,7,1,1,NA,NA
9,7,1,2,NA,NA
9,8,0,0,NA,NA
9,8,0,1,NA,NA
9,8,0,2,NA,NA
9,8,0,3,NA,NA
9,8,1,0,NA,NA
9,8,1,1,NA,NA
9,8,1,2,NA,NA
9,8,1,3,NA,NA
9,9,0,0,NA,NA
9,9,0,1,NA,NA
9,9,0,2,NA,NA
9,9,0,3,NA,NA
9,9,0,4,NA,NA
9,9,1,0,NA,NA
9,9,1,1,NA,NA
9,9,1,2,NA,NA
9,9,1,3,NA,NA
9,9,1,4,NA,NA
9,10,0,0,NA,NA
9,10,0,1,NA,NA
9,10,0,2,NA,NA
9,10,0,3,NA,NA
9,10,0,4,NA,NA
9,10,1,0,NA,NA
9,10,1,1,NA,NA
9,10,1,2,NA,NA
9,10,1,3,NA,NA
9,10,1,4,NA,NA
10,6,0,0,NA,NA
10,6,1,0,NA,NA
10,7,0,0,NA,NA
10,7,0,1,NA,NA
10,7,1,0,NA,NA
10,7,1,1,NA,NA
10,8,0,0,NA,NA
10,8,0,1,NA,NA
10,8,0,2,NA,NA
10,8,1,0,NA,NA
10,8,1,1,NA,NA
10,8,1,2,NA,NA
10,9,0,0,NA,NA
10,9,0,1,NA,NA
10,9,0,2,NA,NA
10,9,0,3,NA,NA
10,9,1,0,NA,NA
10,9,1,1,NA,NA
10,9,1,2,NA,NA
10,9,1,3,NA,NA
10,10,0,0,NA,NA
10,10,0,1,NA,NA
10,10,0,2,NA,NA
10,10,0,3,NA,NA
10,10,0,4,NA,NA
10,10,1,0,NA,NA
10,10,1,1,NA,NA
10,10,1,2,NA,NA
10,10,1,3,NA,NA
10,10,1,4,NA,NA
10,11,0,0,NA,NA
10,11,0,1,NA,NA
10,11,0,2,NA,NA
10,11,0,3,NA,NA
10,11,0,4,NA,NA
10,11,1,0,NA,NA
10,11,1,1,NA,NA
10,11,1,2,NA,NA
10,11,1,3,NA,NA
10,11,1,4,NA,NA
11,7,0,0,NA,NA
11,7,1,0,NA,NA
11,8,0,0,NA,NA
11,8,0,1,NA,NA
11,8,1,0,NA,NA
11,8,1,1,NA,NA
11,9,0,0,NA,NA
11,9,0,1,NA,NA
11,9,0,2,NA,NA
11,9,1,0,NA,NA
11,9,1,1,NA,NA
11,9,1,2,NA,NA
11,10,0,0,NA,NA
11,10,0,1,NA,NA
11,10,0,2,NA,NA
11,10,0,3,NA,NA
11,10,1,0,NA,NA
11,10,1,1,NA,NA
11,10,1,2,NA,NA
11,10,1,3,NA,NA
11,11,0,0,NA,NA
11,11,0,1,NA,NA
11,11,0,2,NA,NA
11,11,0,3,NA,NA
11,11,0,4,NA,NA
11,11,1,0,NA,NA
11,11,1,1,NA,NA
11,11,1,2,NA,NA
11,11,1,3,NA,NA
11,11,1,4,NA,NA
